station,temperature,dew_point,pressure,wind_dir,wind_speed,visibility,rain
SBFL,21,13,1015,160,9,9999,0
SBFL,22,13,1015,160,8,9999,0
SBFL,22,13,1014,170,8,9999,0
SBFL,22,13,1014,170,12,9999,0
SBFL,22,13,1014,150,14,9999,0
SBFL,22,13,1014,160,16,9999,0
SBFL,23,14,1014,160,16,9999,0
SBFL,24,16,1014,160,10,9999,0
SBFL,23,15,1014,190,13,9999,0
SBFL,24,15,1014,190,13,9999,0
SBFL,23,15,1014,190,12,,0
SBFL,22,15,1014,200,8,,0
SBFL,20,14,1013,180,6,,0
SBFL,19,14,1013,220,3,,0
SBFL,18,17,1012,250,4,,0
SBFL,18,13,1011,210,5,,0
SBFL,19,12,1011,200,6,,0
SBFL,19,13,1011,200,10,,0
SBFL,19,14,1011,190,9,,0
SBFL,20,14,1011,180,12,9999,0
SBFL,20,14,1012,180,13,9999,0
SBFL,20,14,1012,190,11,9999,0
SBFL,21,15,1011,190,13,9999,0
SBFL,21,15,1011,190,13,9999,0
SBFL,21,15,1010,180,13,9999,0
SBFL,21,16,1010,180,15,9999,0
SBFL,22,16,1010,180,15,9999,0
SBFL,22,16,1009,180,11,9999,0
SBFL,24,17,1008,190,17,9999,0
SBFL,25,18,1008,180,12,9999,0
SBFL,25,18,1008,170,13,9999,0
SBFL,24,18,1009,190,15,9999,0
SBFL,26,18,1008,180,19,9999,0
SBFL,26,18,1008,190,15,9999,0
SBFL,25,18,1009,180,19,9999,0
SBFL,25,19,1008,190,16,9999,0
SBFL,25,19,1007,180,14,9999,0
SBFL,23,19,1006,180,16,9999,0
SBFL,22,19,1006,180,9,9999,0
SBFL,22,18,1005,190,9,9999,0
SBFL,22,19,1004,190,12,9999,0
SBFL,22,19,1004,160,14,9999,0
SBFL,22,20,1004,190,12,9999,0
SBFL,22,21,1004,190,10,9999,0
SBFL,22,21,1004,200,3,9999,0
SBFL,22,21,1003,120,8,9999,0
SBFL,22,21,1004,160,3,9999,0
SBFL,22,21,1004,070,3,9999,0
SBFL,22,21,1004,200,3,9999,0
SBFL,22,21,1004,200,3,9999,0
SBFL,22,21,1004,150,4,9999,0
SBFL,22,21,1004,150,6,9999,0
SBFL,22,21,1004,140,7,9999,0
SBFL,23,21,1004,120,7,9999,0
SBFL,25,21,1003,080,7,9999,0
SBFL,25,22,1004,VRB,1,9999,0
SBFL,25,22,1004,020,3,9999,0
SBFL,24,23,1005,140,5,9999,0
SBFL,23,22,1006,VRB,2,9999,1
SBFL,24,22,1007,270,4,7000,1
SBFL,24,22,1008,300,4,9999,0
SBFL,23,22,1008,350,7,9999,1
SBFL,23,22,1008,350,7,9999,0
SBFL,23,22,1009,350,5,9999,1
SBFL,23,22,1009,330,4,9999,0
SBFL,23,22,1009,360,4,9999,0
SBFL,23,22,1009,360,6,5000,0
SBFL,23,22,1009,320,10,3500,1
SBFL,23,22,1009,320,6,3000,1
SBFL,23,22,1009,020,4,2000,1
SBFL,23,22,1009,350,3,6000,0
SBFL,23,22,1009,000,0,6000,0
SBFL,23,22,1010,VRB,2,8000,1
SBFL,23,22,1011,150,5,5000,1
SBFL,23,22,1011,140,4,4000,1
SBFL,23,22,1011,000,0,9999,0
SBFL,24,22,1012,190,2,9999,0
SBFL,24,22,1012,080,5,9999,0
SBFL,24,22,1012,040,3,9999,0
SBFL,24,22,1012,040,3,9999,0
SBFL,23,22,1012,090,5,8000,0
SBFL,23,22,1011,100,7,9999,0
SBFL,25,22,1011,080,6,9999,0
SBFL,25,22,1011,070,7,9999,0
SBFL,26,22,1011,070,7,9999,0
SBFL,26,22,1011,050,7,9999,0
SBFL,25,22,1012,050,8,9000,0
SBFL,25,23,1013,050,9,8000,0
SBFL,24,23,1013,060,6,4000,0
SBFL,24,23,1014,300,3,8000,0
SBFL,24,22,1014,300,4,3500,0
SBFL,24,23,1014,270,2,8000,0
SBFL,24,22,1014,290,3,6000,0
SBFL,25,22,1014,000,0,8000,0
SBFL,24,22,1014,VRB,2,8000,0
SBFL,23,22,1014,100,3,6000,0
SBFL,23,22,1014,000,0,9999,0
SBFL,23,22,1013,120,2,9999,0
SBFL,23,22,1013,000,0,9999,0
SBFL,23,22,1013,000,0,9999,0
SBFL,23,22,1013,270,2,9999,0
SBFL,23,22,1014,000,0,9999,0
SBFL,23,22,1015,030,5,9999,0
SBFL,24,22,1015,050,3,9999,0
SBFL,24,22,1015,000,0,9999,0
SBFL,24,22,1015,040,3,9999,0
SBFL,24,22,1015,040,3,9999,0
SBFL,24,22,1015,080,4,9999,0
SBFL,24,22,1014,070,5,9999,0
SBFL,25,22,1013,VRB,2,9999,0
SBFL,25,23,1013,070,7,9999,0
SBFL,25,23,1013,080,6,9999,0
SBFL,24,24,1014,050,5,9999,0
SBFL,24,23,1014,350,8,1500,1
SBFL,24,23,1014,010,5,4000,1
SBFL,25,23,1014,020,6,3900,1
SBFL,26,23,1015,030,5,4000,1
SBFL,26,23,1014,350,9,9999,0
SBFL,26,23,1014,030,8,9999,0
SBFL,24,23,1015,360,6,6000,0
SBFL,24,23,1015,310,5,4500,1
SBFL,23,22,1014,VRB,1,3500,1
SBFL,23,22,1014,060,3,3000,1
SBFL,23,22,1014,VRB,2,4500,1
SBFL,23,22,1014,200,4,3000,1
SBFL,23,22,1014,360,9,6000,0
SBFL,23,22,1014,010,7,3500,1
SBFL,24,22,1014,020,6,9999,0
SBFL,24,22,1015,010,3,8000,0
